rowid,suburb_name,state,postcode,ssc,norm_key,ssc_match,confidence
30284,MANNERIM,NSW,,,MANNERIM|NSW,,76
30288,INDENTED HEAD,NSW,,,INDENTED HEAD|NSW,,82
30290,PORTARLINGTON,NSW,,,PORTARLINGTON|NSW,,84
30293,LEOPOLD,NSW,,,LEOPOLD|NSW,,78
30295,POINT LONSDALE,NSW,,,POINT LONSDALE|NSW,,82
30301,OCEAN GROVE,NSW,,,OCEAN GROVE|NSW,,84
30303,BARWON HEADS,NSW,,,BARWON HEADS|NSW,,84
30305,BREAMLEA,NSW,,,BREAMLEA|NSW,,82
30307,CONNEWARRE,NSW,,,CONNEWARRE|NSW,,79
30311,BELLS BEACH,NSW,,,BELLS BEACH|NSW,,84
30313,JAN JUC,NSW,,,JAN JUC|NSW,,73
30315,TORQUAY,NSW,,,TORQUAY|NSW,,80
30317,ANGLESEA,NSW,,,ANGLESEA|NSW,,83
30319,AIREYS INLET,NSW,,,AIREYS INLET|NSW,,81
30322,EASTERN VIEW,NSW,,,EASTERN VIEW|NSW,,81
30324,FAIRHAVEN,NSW,,,FAIRHAVEN|NSW,,81
30331,CAPE OTWAY,NSW,,,CAPE OTWAY|NSW,,71
30334,PETTICOAT CREEK,NSW,,,PETTICOAT CREEK|NSW,,79
30338,SKENES CREEK NORTH,NSW,,,SKENES CREEK NORTH|NSW,,82
30340,BENWERRIN,NSW,,,BENWERRIN|NSW,,81
30344,DEANS MARSH,NSW,,,DEANS MARSH|NSW,,80
30346,PENNYROYAL,NSW,,,PENNYROYAL|NSW,,72
30352,AIRE VALLEY,NSW,,,AIRE VALLEY|NSW,,84
30354,BEECH FOREST,NSW,,,BEECH FOREST|NSW,,84
30362,WEEAPROINAH,NSW,,,WEEAPROINAH|NSW,,80
30370,HORDERN VALE,NSW,,,HORDERN VALE|NSW,,83
30372,JOHANNA,NSW,,,JOHANNA|NSW,,82
30374,LAVERS HILL,NSW,,,LAVERS HILL|NSW,,83
30376,CARLISLE RIVER,NSW,,,CARLISLE RIVER|NSW,,82
30378,CHAPPLE VALE,NSW,,,CHAPPLE VALE|NSW,,84
30380,GELLIBRAND,NSW,,,GELLIBRAND|NSW,,83
30382,KENNEDYS CREEK,NSW,,,KENNEDYS CREEK|NSW,,83
30386,GHERANG,NSW,,,GHERANG|NSW,,82
30388,MODEWARRE,NSW,,,MODEWARRE|NSW,,77
30390,MORIAC,NSW,,,MORIAC|NSW,,84
30392,MOUNT MORIAC,NSW,,,MOUNT MORIAC|NSW,,81
30394,PARAPARAP,NSW,,,PARAPARAP|NSW,,78
30398,OMBERSLEY,NSW,,,OMBERSLEY|NSW,,82
30400,WENSLEYDALE,NSW,,,WENSLEYDALE|NSW,,81
30402,WINCHELSEA,NSW,,,WINCHELSEA|NSW,,79
30404,WINCHELSEA SOUTH,NSW,,,WINCHELSEA SOUTH|NSW,,80
30406,WURDIBOLUC,NSW,,,WURDIBOLUC|NSW,,79
30408,BIRREGURRA,NSW,,,BIRREGURRA|NSW,,80
30410,BARWON DOWNS,NSW,,,BARWON DOWNS|NSW,,81
30412,GERANGAMETE,NSW,,,GERANGAMETE|NSW,,80
30414,MURROON,NSW,,,MURROON|NSW,,82
30416,WARNCOORT,NSW,,,WARNCOORT|NSW,,78
30418,WHOOREL,NSW,,,WHOOREL|NSW,,80
30434,DREEITE,NSW,,,DREEITE|NSW,,78
30436,DREEITE SOUTH,NSW,,,DREEITE SOUTH|NSW,,81
30440,IRREWILLIPE,NSW,,,IRREWILLIPE|NSW,,80
30446,LARPENT,NSW,,,LARPENT|NSW,,82
30448,NALANGIL,NSW,,,NALANGIL|NSW,,82
30450,ONDIT,NSW,,,ONDIT|NSW,,78
30452,PIRRON YALLOCK,NSW,,,PIRRON YALLOCK|NSW,,78
30454,POMBORNEIT EAST,NSW,,,POMBORNEIT EAST|NSW,,79
30456,SWAN MARSH,NSW,,,SWAN MARSH|NSW,,77
30458,TANYBRYN,NSW,,,TANYBRYN|NSW,,75
30462,WOOL WOOL,NSW,,,WOOL WOOL|NSW,,81
30466,YEODENE,NSW,,,YEODENE|NSW,,82
30470,COLAC EAST,NSW,,,COLAC EAST|NSW,,83
30472,COLAC WEST,NSW,,,COLAC WEST|NSW,,83
30474,ELLIMINYT,NSW,,,ELLIMINYT|NSW,,77
30476,BEEAC,NSW,,,BEEAC|NSW,,84
30478,CUNDARE,NSW,,,CUNDARE|NSW,,82
30480,CUNDARE NORTH,NSW,,,CUNDARE NORTH|NSW,,83
30482,EURACK,NSW,,,EURACK|NSW,,84
30484,WEERING,NSW,,,WEERING|NSW,,82
30486,COROROOKE,NSW,,,COROROOKE|NSW,,83
30488,BOOKAAR,NSW,,,BOOKAAR|NSW,,83
