ssc,suburb_name,state,postcodes
10517,CURDIE VALE,NSW,2380
10518,BLUEYS BEACH,NSW,2428
10519,BLUFF ROCK,NSW,2372
10520,BOAMBEE,NSW,2450
10521,BOAMBEE EAST,NSW,2452
10522,BOAMBOLO,NSW,2582
10523,BOAT HARBOUR,NSW,2316
10524,BOAT HARBOUR,NSW,2480
10525,BOAT HARBOUR,NSW,2484
10526,BOBADAH,NSW,2877
10527,BOBBIN HEAD,NSW,2074
10528,BOBIN,NSW,2429
10529,BOBS CREEK,NSW,2439
10530,BOBS CREEK,NSW,2443
10531,BOBS FARM,NSW,2316
10532,BOBUNDARA,NSW,2630
10533,BOCCI,NSW,2631
10534,BOCO,NSW,2631
10535,BOOLITE,NSW,2850
10536,BOCOBRA,NSW,2865
10537,DALLAS,NSW,2545
10538,BODANGORA,NSW,2820
10539,BOEILL CREEK,NSW,2648
10540,BOEILL CREEK,NSW,2739
10541,BOGAN,NSW,2825
10542,BOGAN,NSW,2826
10543,BOGAN GATE,NSW,2876
10544,BOGANGAR,NSW,2488
10545,BOGEE,NSW,2849
10546,BOGGABILLA,NSW,2409
10547,BOGGABRI,NSW,2382
10548,BOGONG PEAKS WILDERNESS,NSW,2720
10549,BOHENA CREEK,NSW,2390
10550,BOHNOCK,NSW,2430
10551,BOLARO,NSW,2629
10552,BOLIVIA,NSW,2372
10553,BOLONG,NSW,2540
10554,BOLTON POINT,NSW,2283
10555,BOLWARRAH,NSW,2320
10556,BOLWARRA HEIGHTS,NSW,2320
10557,BOM BOM,NSW,2460
10558,BOMADERRY,NSW,2541
10559,BOMBAH POINT,NSW,2423
10560,BOMBALA,NSW,2632
10561,BOMBAY,NSW,2622
10562,BOMBIRA,NSW,2850
10563,BOMBO,NSW,2533
10564,BOMBOWLEE,NSW,2720
10565,BOMBOWLEE CREEK,NSW,2720
10566,BOMEN,NSW,2650
10567,BOMERA,NSW,2357
10568,BONA VISTA,NSW,2350
10569,BONALBO,NSW,2469
10570,BONDI,NSW,2026
10571,BONDI BEACH,NSW,2026
10572,BONDI FOREST,NSW,2632
10573,BONDI JUNCTION,NSW,1355
10574,BONDI JUNCTION,NSW,2022
10575,BONDI JUNCTION PLAZA,NSW,2022
10576,BONG BONG,NSW,2576
10577,BONGALONG,NSW,2722
10578,BONGONGALONG,NSW,2722
10579,BONNELLS BAY,NSW,2264
10580,BONNET BAY,NSW,2226
10581,BONNIE VALE,NSW,2232
10582,BONNINGTON PARK,NSW,2311
10583,BONNY HILLS,NSW,2445
10584,BONNYRIGG,NSW,2177
10585,BONNYRIGG HEIGHTS,NSW,2177
10586,BONSHAW,NSW,2361
10587,BONVILLE,NSW,2441
10588,BONVILLE,NSW,2450
10589,BOOERIE CREEK,NSW,2480
10590,BOOK BOOK,NSW,2650
10591,BOOKER BAY,NSW,2257
10592,BOOKHAM,NSW,2582
10593,BOOKOOKOORARA,NSW,2372
10594,BOOKRAM,NSW,2460
10595,BOOLAMBAYTE,NSW,2423
10596,COOLAROO,NSW,2284
10597,BOOLCARROLL,NSW,2388
10598,BOOLIGAL,NSW,2711
10599,BOOLIJAH,NSW,2540
10600,BOOMANOOMANA,NSW,2712
10601,BOOMERANG BEACH,NSW,2428
10602,BOOMEY,NSW,2866
10603,BOOMI,NSW,2405
10604,BOOMI CREEK,NSW,2476
10605,BOOMOODEERIE,NSW,2469
10606,MOUNT BOLTON,NSW,2877
10607,BORONIA,NSW,2409
10608,BOONOO BOONOO,NSW,2372
10609,BOORABEE PARK,NSW,2480
10610,BOORAGUL,NSW,2284
10611,BOORCAN,NSW,2425
10612,BOORGA,NSW,2652
10613,MORGIANA,NSW,2429
10614,BOOROLONG,NSW,2350
10615,COROROOKE,NSW,2372
10616,BOOROOMA,NSW,2650
10617,BOOROOMA,NSW,2832
10618,BOOROORBAN,NSW,2710
10619,BOOROWA,NSW,2586
10620,BOOTAWA,NSW,2430
10621,BOOTHENBA,NSW,2830
10622,BOOTI BOOTI,NSW,2428
10623,KOOYONG,NSW,2480
10624,BORA RIDGE,NSW,2471
10625,BORAH CREEK,NSW,2346
10626,BORAMBIL,NSW,2329
10627,BORAMBIL,NSW,2343
10628,BORAMBOLA,NSW,2650
10629,BORDER RANGES,NSW,2474
10630,BOREE,NSW,2325
10631,BOREE,NSW,2800
10632,BOREE,NSW,2864
10633,BOREE CREEK,NSW,2652
10634,BORENORE,NSW,2800
10635,BORO,NSW,2622
10636,BORONIA PARK,NSW,2111
10637,BOSSLEY PARK,NSW,2176
10638,BOSTOBRICK,NSW,2453
10639,BOTANY,NSW,1455
10640,BOTANY,NSW,2019
10641,BOTFIELDS,NSW,2876
10642,BOTOBOLAR,NSW,2850
10643,BOTTLE CREEK,NSW,2469
10644,BOUDDI,NSW,2251
10645,BOURBAH,NSW,2828
10646,BOURKE,NSW,2840
10647,BOURKELANDS,NSW,2650
10648,BOURNDA,NSW,2548
10649,BOURNDA,NSW,2550
10650,BOURNEWOOD,NSW,2868
10651,BOW BOWING,NSW,2566
10652,BOWAN PARK,NSW,2864
10653,BOWEN,NSW,2800
10654,BOWEN MOUNTAIN,NSW,2753
10655,BOWENFELS,NSW,2790
10656,BOWLING ALLEY POINT,NSW,2340
10657,BOWMAN,NSW,2422
